# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EC958_3207	EC958_3207	EC958_3207	protein_coding	0	0	0	14	3	0	0	0	0	0	0	0	11
EC958_3208	EC958_3208	EC958_3208	protein_coding	0	1	0	16	6	0	0	0	0	0	0	1	10
EC958_3209	EC958_3209	EC958_3209	protein_coding	0	1	1	24	16	1	0	0	0	0	0	1	8
EC958_3210	EC958_3210	EC958_3210	protein_coding	0	0	0	27	19	0	0	0	0	0	0	0	8
EC958_3211	EC958_3211	EC958_3211	protein_coding	0	0	0	27	20	0	0	0	0	0	0	0	7
EC958_3214	EC958_3214	EC958_3214	protein_coding	0	0	0	32	5	0	0	0	0	0	0	0	27
EC958_3215	EC958_3215	EC958_3215	protein_coding	0	14	2	15	3	2	0	0	0	0	0	14	12
EC958_3218	EC958_3218	EC958_3218	protein_coding	0	0	0	38	16	0	0	0	0	0	0	0	22
EC958_3219	EC958_3219	EC958_3219	protein_coding	0	0	0	38	16	0	0	0	0	0	0	0	22
EC958_3235	EC958_3235	EC958_3235	protein_coding	0	6	1	115	49	1	0	0	0	0	0	6	66
EC958_3242	EC958_3242	EC958_3242	protein_coding	0	1	2	106	55	2	0	0	0	0	0	1	51
EC958_3243	EC958_3243	EC958_3243	protein_coding	0	4	1	105	63	1	0	0	0	0	0	4	42
EC958_3244	EC958_3244	EC958_3244	protein_coding	0	3	2	112	65	2	0	0	0	0	0	3	47
EC958_3248	EC958_3248	EC958_3248	protein_coding	1	3	4	81	55	4	0	0	1	0	0	3	26
EC958_3257	EC958_3257	EC958_3257	protein_coding	0	0	0	31	0	0	0	0	0	0	0	0	31
EC958_3258	EC958_3258	EC958_3258	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	28
EC958_3260	EC958_3260	EC958_3260	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_3261	EC958_3261	EC958_3261	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_3263	EC958_3263	EC958_3263	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_3264	EC958_3264	EC958_3264	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_3265	EC958_3265	EC958_3265	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3266	EC958_3266	EC958_3266	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3267	EC958_3267	EC958_3267	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3268	EC958_3268	EC958_3268	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	1
EC958_3269	EC958_3269	EC958_3269	protein_coding	0	0	0	5	4	0	0	0	0	0	0	0	1
EC958_3277	EC958_3277	EC958_3277	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0
EC958_3306	EC958_3306	EC958_3306	protein_coding	0	0	0	17	17	0	0	0	0	0	0	0	0
EC958_3307	EC958_3307	EC958_3307	protein_coding	0	0	0	26	0	0	0	0	0	0	0	0	26
EC958_3308	EC958_3308	EC958_3308	protein_coding	0	0	0	27	27	0	0	0	0	0	0	0	0
EC958_3309	EC958_3309	EC958_3309	protein_coding	0	0	0	45	45	0	0	0	0	0	0	0	0
EC958_3311	EC958_3311	EC958_3311	protein_coding	0	0	0	53	27	0	0	0	0	0	0	0	26
EC958_3313	EC958_3313	EC958_3313	protein_coding	0	0	0	53	13	0	0	0	0	0	0	0	40
EC958_3315	EC958_3315	EC958_3315	protein_coding	0	1	3	26	0	3	0	0	0	0	0	1	26
EC958_3316	EC958_3316	EC958_3316	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	12
EC958_3317	EC958_3317	EC958_3317	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0
EC958_3319	EC958_3319	EC958_3319	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	4
EC958_3320	EC958_3320	EC958_3320	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	4
EC958_3321	EC958_3321	EC958_3321	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	4
EC958_3322	EC958_3322	EC958_3322	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	4
EC958_3323	EC958_3323	EC958_3323	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	4
EC958_3324	EC958_3324	EC958_3324	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	2
EC958_3325	EC958_3325	EC958_3325	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3326	EC958_3326	EC958_3326	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_3327	EC958_3327	EC958_3327	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_3328	EC958_3328	EC958_3328	protein_coding	0	0	1	2	2	1	0	0	0	0	0	0	0
EC958_3329	EC958_3329	EC958_3329	protein_coding	0	0	0	8	7	0	0	0	0	0	0	0	1
EC958_3330	EC958_3330	EC958_3330	protein_coding	0	0	0	8	7	0	0	0	0	0	0	0	1
EC958_3331	EC958_3331	EC958_3331	protein_coding	0	0	0	20	19	0	0	0	0	0	0	0	1
EC958_3332	EC958_3332	EC958_3332	protein_coding	0	0	0	66	65	0	0	0	0	0	0	0	1
EC958_3339	EC958_3339	EC958_3339	protein_coding	0	0	0	187	187	0	0	0	0	0	0	0	0
EC958_3340	EC958_3340	EC958_3340	protein_coding	0	0	0	241	149	0	0	0	0	0	0	0	92
EC958_3341	EC958_3341	EC958_3341	protein_coding	0	0	0	245	66	0	0	0	0	0	0	0	179
EC958_3358	EC958_3358	EC958_3358	protein_coding	0	0	0	74	74	0	0	0	0	0	0	0	0
EC958_3359	EC958_3359	EC958_3359	protein_coding	0	0	0	74	0	0	0	0	0	0	0	0	74
EC958_3363	EC958_3363	EC958_3363	protein_coding	0	4	1	123	74	1	0	0	0	0	0	4	49
EC958_3364	EC958_3364	EC958_3364	protein_coding	0	10	1	97	46	1	1	0	0	0	1	9	51
EC958_3367	EC958_3367	EC958_3367	protein_coding	0	8	1	141	45	1	0	0	0	0	0	8	96
EC958_3368	EC958_3368	EC958_3368	protein_coding	0	26	4	169	123	4	0	0	0	0	0	26	46
EC958_3369	EC958_3369	EC958_3369	protein_coding	0	12	4	221	175	4	0	0	0	0	0	12	46
EC958_3370	EC958_3370	EC958_3370	protein_coding	0	0	0	239	182	0	0	0	0	0	0	0	57
EC958_3371	EC958_3371	EC958_3371	protein_coding	0	28	8	234	177	8	0	0	0	0	0	28	57
EC958_3372	EC958_3372	EC958_3372	protein_coding	0	23	5	260	88	5	0	0	0	0	0	23	172
EC958_3373	EC958_3373	EC958_3373	protein_coding	0	20	3	288	111	3	0	0	0	0	0	20	177
EC958_3374	EC958_3374	EC958_3374	protein_coding	0	15	5	283	114	5	0	0	0	0	0	15	169
EC958_3375	EC958_3375	EC958_3375	protein_coding	1	49	17	259	127	17	2	0	0	1	1	48	132
EC958_3382	EC958_3382	EC958_3382	protein_coding	0	10	2	233	132	2	0	0	0	0	0	10	101
EC958_3391	EC958_3391	EC958_3391	protein_coding	0	3	1	117	101	1	0	0	0	0	0	3	16
EC958_3392	EC958_3392	EC958_3392	protein_coding	0	0	0	94	16	0	0	0	0	0	0	0	78
EC958_3394	EC958_3394	EC958_3394	protein_coding	0	7	1	76	67	1	0	0	0	0	0	7	9
EC958_3407	EC958_3407	EC958_3407	protein_coding	0	0	0	36	1	0	0	0	0	0	0	0	35
EC958_3408	EC958_3408	EC958_3408	protein_coding	0	11	0	29	28	0	0	0	0	0	0	11	1
EC958_3409	EC958_3409	EC958_3409	protein_coding	0	2	0	38	26	0	0	0	0	0	0	2	12
EC958_3410	EC958_3410	EC958_3410	protein_coding	0	1	1	37	24	1	0	0	0	0	0	1	13
EC958_3411	EC958_3411	EC958_3411	protein_coding	0	12	6	21	5	6	0	0	0	0	0	12	16
EC958_3412	EC958_3412	EC958_3412	protein_coding	0	3	1	35	0	1	0	0	0	0	0	3	35
EC958_3413	EC958_3413	EC958_3413	protein_coding	0	0	0	29	1	0	0	0	0	0	0	0	28
EC958_3418	EC958_3418	EC958_3418	protein_coding	0	1	1	14	3	1	0	0	0	0	0	1	11
EC958_3423	EC958_3423	EC958_3423	protein_coding	0	0	0	19	12	0	0	0	0	0	0	0	7
EC958_3424	EC958_3424	EC958_3424	protein_coding	0	0	0	19	11	0	0	0	0	0	0	0	8
EC958_3427	EC958_3427	EC958_3427	protein_coding	0	1	0	14	7	0	0	0	0	0	0	1	7
EC958_3428	EC958_3428	EC958_3428	protein_coding	0	1	1	13	8	1	0	0	0	0	0	1	5
EC958_3429	EC958_3429	EC958_3429	protein_coding	0	2	0	12	9	0	0	0	0	0	0	2	3
EC958_3430	EC958_3430	EC958_3430	protein_coding	0	1	1	8	7	1	0	0	0	0	0	1	1
EC958_3431	EC958_3431	EC958_3431	protein_coding	0	1	0	9	9	0	0	0	0	0	0	1	0
EC958_3432	EC958_3432	EC958_3432	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	8
EC958_3488	EC958_3488	EC958_3488	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3489	EC958_3489	EC958_3489	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_3794	EC958_3794	EC958_3794	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_3795	EC958_3795	EC958_3795	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_4337	EC958_4337	EC958_4337	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_4338	EC958_4338	EC958_4338	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0
EC958_4340	EC958_4340	EC958_4340	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_4342	EC958_4342	EC958_4342	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_4695	EC958_4695	EC958_4695	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5
EC958_4696	EC958_4696	EC958_4696	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	20
EC958_4697	EC958_4697	EC958_4697	protein_coding	0	0	0	23	0	0	0	0	0	0	0	0	23
EC958_4698	EC958_4698	EC958_4698	protein_coding	0	0	0	27	0	0	0	0	0	0	0	0	27
EC958_4699	EC958_4699	EC958_4699	protein_coding	0	0	0	41	0	0	0	0	0	0	0	0	41
EC958_4700	EC958_4700	EC958_4700	protein_coding	0	1	0	50	50	0	0	0	0	0	0	1	0
EC958_4720	EC958_4720	EC958_4720	protein_coding	0	4	1	106	39	1	0	0	0	0	0	4	67
EC958_4725	EC958_4725	EC958_4725	protein_coding	0	7	1	131	67	1	0	0	0	0	0	7	64
EC958_4728	EC958_4728	EC958_4728	protein_coding	0	19	1	109	59	1	0	0	0	0	0	19	50
EC958_4735	EC958_4735	EC958_4735	protein_coding	0	0	1	98	65	1	0	0	0	0	0	0	33
EC958_4740	EC958_4740	EC958_4740	protein_coding	0	0	0	65	65	0	0	0	0	0	0	0	0
EC958_4741	EC958_4741	EC958_4741	protein_coding	0	0	0	65	65	0	0	0	0	0	0	0	0
EC958_4742	EC958_4742	EC958_4742	protein_coding	0	0	0	65	60	0	0	0	0	0	0	0	5
EC958_4743	EC958_4743	EC958_4743	protein_coding	0	0	0	68	56	0	0	0	0	0	0	0	12
EC958_4744	EC958_4744	EC958_4744	protein_coding	0	0	0	44	12	0	0	0	0	0	0	0	32
EC958_4746	EC958_4746	EC958_4746	protein_coding	0	0	0	41	18	0	0	0	0	0	0	0	23
EC958_4750	EC958_4750	EC958_4750	protein_coding	0	4	0	37	8	0	0	0	0	0	0	4	29
EC958_4760	EC958_4760	EC958_4760	protein_coding	1	0	1	39	34	1	0	0	1	0	0	0	5
EC958_4761	EC958_4761	EC958_4761	protein_coding	0	0	1	40	0	1	0	0	0	0	0	0	40
EC958_4762	EC958_4762	EC958_4762	protein_coding	0	0	0	41	41	0	0	0	0	0	0	0	0
EC958_4763	EC958_4763	EC958_4763	protein_coding	0	0	0	41	41	0	0	0	0	0	0	0	0
EC958_4764	EC958_4764	EC958_4764	protein_coding	0	0	0	49	11	0	0	0	0	0	0	0	38
EC958_4765	EC958_4765	EC958_4765	protein_coding	0	0	0	56	20	0	0	0	0	0	0	0	36
EC958_4766	EC958_4766	EC958_4766	protein_coding	0	0	0	31	20	0	0	0	0	0	0	0	11
EC958_4767	EC958_4767	EC958_4767	protein_coding	0	2	3	17	17	3	0	0	0	0	0	2	0
EC958_4768	EC958_4768	EC958_4768	protein_coding	0	0	0	30	20	0	0	0	0	0	0	0	10
EC958_4769	EC958_4769	EC958_4769	protein_coding	0	3	3	63	53	3	0	0	0	0	0	3	10
EC958_4770	EC958_4770	EC958_4770	protein_coding	0	0	0	75	16	0	0	0	0	0	0	0	59
EC958_4771	EC958_4771	EC958_4771	protein_coding	0	20	11	51	17	11	0	0	0	0	0	20	34
EC958_4772	EC958_4772	EC958_4772	protein_coding	0	17	5	52	41	5	0	0	0	0	0	17	11
EC958_4773	EC958_4773	EC958_4773	protein_coding	0	1	0	65	55	0	0	0	0	0	0	1	10
EC958_4774	EC958_4774	EC958_4774	protein_coding	0	2	0	64	8	0	0	0	0	0	0	2	56
EC958_4775	EC958_4775	EC958_4775	protein_coding	0	0	0	54	54	0	0	0	0	0	0	0	0
EC958_4776	EC958_4776	EC958_4776	protein_coding	0	0	0	46	0	0	0	0	0	0	0	0	46
EC958_4777	EC958_4777	EC958_4777	protein_coding	0	0	0	37	37	0	0	0	0	0	0	0	0
EC958_4778	EC958_4778	EC958_4778	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0
EC958_4779	EC958_4779	EC958_4779	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0
EC958_4792	EC958_4792	EC958_4792	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0
EC958_4793	EC958_4793	EC958_4793	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_4794	EC958_4794	EC958_4794	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_4795	EC958_4795	EC958_4795	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_4797	EC958_4797	EC958_4797	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	1
EC958_4833	EC958_4833	EC958_4833	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4834	EC958_4834	EC958_4834	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_4835	EC958_4835	EC958_4835	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	1
EC958_4838	EC958_4838	EC958_4838	protein_coding	0	0	0	75	55	0	0	0	0	0	0	0	20
EC958_4839	EC958_4839	EC958_4839	protein_coding	0	0	0	76	56	0	0	0	0	0	0	0	20
EC958_4840	EC958_4840	EC958_4840	protein_coding	0	0	0	84	64	0	0	0	0	0	0	0	20
EC958_4872	EC958_4872	EC958_4872	protein_coding	0	0	0	19	5	0	0	0	0	0	0	0	14
EC958_4876	EC958_4876	EC958_4876	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	35
EC958_4877	EC958_4877	EC958_4877	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	52
EC958_4878	EC958_4878	EC958_4878	protein_coding	0	0	0	53	30	0	0	0	0	0	0	0	23
EC958_4879	EC958_4879	EC958_4879	protein_coding	0	2	2	25	17	2	0	0	0	0	0	2	8
EC958_4883	EC958_4883	EC958_4883	protein_coding	0	2	1	34	13	1	0	0	0	0	0	2	21
EC958_4884	EC958_4884	EC958_4884	protein_coding	0	0	0	64	40	0	0	0	0	0	0	0	24
EC958_4885	EC958_4885	EC958_4885	protein_coding	0	0	0	83	60	0	0	0	0	0	0	0	23
EC958_4886	EC958_4886	EC958_4886	protein_coding	0	0	0	89	66	0	0	0	0	0	0	0	23
EC958_4887	EC958_4887	EC958_4887	protein_coding	0	0	0	98	75	0	0	0	0	0	0	0	23
EC958_4888	EC958_4888	EC958_4888	protein_coding	0	0	0	100	23	0	0	0	0	0	0	0	77
EC958_4889	EC958_4889	EC958_4889	protein_coding	0	0	0	137	22	0	0	0	0	0	0	0	115
EC958_4891	EC958_4891	EC958_4891	protein_coding	0	3	0	217	151	0	0	0	0	0	0	3	66
EC958_4892	EC958_4892	EC958_4892	protein_coding	0	1	0	161	16	0	0	0	0	0	0	1	145
EC958_4894	EC958_4894	EC958_4894	protein_coding	0	0	0	10	3	0	0	0	0	0	0	0	7
EC958_4895	EC958_4895	EC958_4895	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_4909	EC958_4909	EC958_4909	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0
EC958_4910	EC958_4910	EC958_4910	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0
EC958_4911	EC958_4911	EC958_4911	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0
EC958_4912	EC958_4912	EC958_4912	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
EC958_4913	EC958_4913	EC958_4913	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
EC958_4914	EC958_4914	EC958_4914	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
EC958_4918	EC958_4918	EC958_4918	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_4919	EC958_4919	EC958_4919	protein_coding	0	0	0	16	11	0	0	0	0	0	0	0	5
EC958_4920	EC958_4920	EC958_4920	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_4921	EC958_4921	EC958_4921	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	9
EC958_4922	EC958_4922	EC958_4922	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	6
EC958_4923	EC958_4923	EC958_4923	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_4924	EC958_4924	EC958_4924	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_4938	EC958_4938	EC958_4938	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_4939	EC958_4939	EC958_4939	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4940	EC958_4940	EC958_4940	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_4941	EC958_4941	EC958_4941	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_4942	EC958_4942	EC958_4942	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4943	EC958_4943	EC958_4943	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_4944	EC958_4944	EC958_4944	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4974	EC958_4974	EC958_4974	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_4975	EC958_4975	EC958_4975	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_4976	EC958_4976	EC958_4976	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_4977	EC958_4977	EC958_4977	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4978	EC958_4978	EC958_4978	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_4979	EC958_4979	EC958_4979	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_5054	EC958_5054	EC958_5054	protein_coding	0	0	0	65	16	0	0	0	0	0	0	0	49
EC958_5062	EC958_5062	EC958_5062	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_5063	EC958_5063	EC958_5063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_5066	EC958_5066	EC958_5066	protein_coding	0	0	0	21	0	0	0	0	0	0	0	0	21
EC958_5067	EC958_5067	EC958_5067	protein_coding	0	0	0	27	0	0	0	0	0	0	0	0	27
EC958_5068	EC958_5068	EC958_5068	protein_coding	0	0	0	45	45	0	0	0	0	0	0	0	0
EC958_5069	EC958_5069	EC958_5069	protein_coding	0	0	0	19	12	0	0	0	0	0	0	0	7
EC958_5084	EC958_5084	EC958_5084	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_5124	EC958_5124	EC958_5124	protein_coding	0	0	0	28	26	0	0	0	0	0	0	0	2
EC958_5130	EC958_5130	EC958_5130	protein_coding	0	1	1	1	0	1	0	0	0	0	0	1	1
EC958_5131	EC958_5131	EC958_5131	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	1
EC958_5132	EC958_5132	EC958_5132	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0
EC958_5133	EC958_5133	EC958_5133	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_5134	EC958_5134	EC958_5134	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_5135	EC958_5135	EC958_5135	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0
EC958_5136	EC958_5136	EC958_5136	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_5146	EC958_5146	EC958_5146	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	20
EC958_5147	EC958_5147	EC958_5147	protein_coding	0	0	0	139	83	0	0	0	0	0	0	0	56
EC958_5148	EC958_5148	EC958_5148	protein_coding	0	0	0	148	83	0	0	0	0	0	0	0	65
EC958_5149	EC958_5149	EC958_5149	protein_coding	0	9	10	124	79	10	0	0	0	0	0	9	45
EC958_5161	EC958_5161	EC958_5161	protein_coding	0	0	0	7	5	0	0	0	0	0	0	0	2
EC958_5163	EC958_5163	EC958_5163	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5
EC958_5164	EC958_5164	EC958_5164	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_5178	EC958_5178	EC958_5178	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	1
EC958_5189	EC958_5189	EC958_5189	protein_coding	1	7	5	28	19	5	0	0	1	0	0	7	9
EC958_5190	EC958_5190	EC958_5190	protein_coding	0	4	4	33	11	4	0	0	0	0	0	4	22
EC958_5192	EC958_5192	EC958_5192	protein_coding	0	2	0	108	7	0	0	0	0	0	0	2	101
EC958_5194	EC958_5194	EC958_5194	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_5205	EC958_5205	EC958_5205	protein_coding	0	0	0	207	0	0	0	0	0	0	0	0	207
EC958_5211	EC958_5211	EC958_5211	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
acnA	EC958_1608	EC958_1608	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
ansB	EC958_3246	EC958_3246	protein_coding	0	22	1	77	39	1	0	0	0	0	0	22	38
araF	EC958_2120	EC958_2120	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
araG	EC958_2119	EC958_2119	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
araH	EC958_2118	EC958_2118	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
arcA	EC958_0132	EC958_0132	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
argI	EC958_4748	EC958_4748	protein_coding	0	4	1	37	1	1	0	0	0	0	0	4	36
aroA	EC958_1064	EC958_1064	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
bglA	EC958_3183	EC958_3183	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
bglJ	EC958_0096	EC958_0096	protein_coding	0	8	3	99	29	3	0	0	0	0	0	8	70
bioH	EC958_3806	EC958_3806	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
cheA	EC958_2110	EC958_2110	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
cheB	EC958_2105	EC958_2105	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
cheR	EC958_2106	EC958_2106	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
cheW	EC958_2109	EC958_2109	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
cheY	EC958_2104	EC958_2104	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
cheZ	EC958_2103	EC958_2103	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
chpA	EC958_4719	EC958_4719	protein_coding	0	0	0	111	70	0	0	0	0	0	0	0	41
chpR	EC958_4718	EC958_4718	protein_coding	0	0	0	109	63	0	0	0	0	0	0	0	46
cmtA	EC958_3216	EC958_3216	protein_coding	0	2	2	34	16	2	0	0	0	0	0	2	18
cmtB	EC958_3217	EC958_3217	protein_coding	0	1	1	36	20	1	0	0	0	0	0	1	16
codA	EC958_0485	EC958_0485	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
codB	EC958_0484	EC958_0484	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
cpdB	EC958_4708	EC958_4708	protein_coding	0	7	0	87	50	0	0	0	0	0	0	7	37
creA	EC958_0128	EC958_0128	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
creB	EC958_0129	EC958_0129	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
creC	EC958_0130	EC958_0130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
creD	EC958_0131	EC958_0131	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
cybC	EC958_4729	EC958_4729	protein_coding	0	3	0	116	63	0	0	0	0	0	0	3	53
cycA	EC958_4703	EC958_4703	protein_coding	0	7	0	68	48	0	0	0	0	0	0	7	20
cysQ	EC958_4709	EC958_4709	protein_coding	0	3	0	83	44	0	0	0	0	0	0	3	39
deoA	EC958_0112	EC958_0112	protein_coding	0	1	0	56	6	0	0	0	0	0	0	1	50
deoB	EC958_0113	EC958_0113	protein_coding	0	3	0	30	2	0	0	0	0	0	0	3	28
deoC	EC958_0111	EC958_0111	protein_coding	0	1	0	71	5	0	0	0	0	0	0	1	66
deoD	EC958_0114	EC958_0114	protein_coding	0	0	0	14	4	0	0	0	0	0	0	0	10
dkgA	EC958_3404	EC958_3404	protein_coding	0	0	0	13	12	0	0	0	0	0	0	0	1
dksA	EC958_0288	EC958_0288	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
dnaC	EC958_0091	EC958_0091	protein_coding	0	5	0	138	57	0	0	0	0	0	0	5	81
dnaT	EC958_0092	EC958_0092	protein_coding	0	5	2	135	61	2	0	0	0	0	0	5	74
dsbA	EC958_4336	EC958_4336	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
ebgC	EC958_3483	EC958_3483	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
endA	EC958_3231	EC958_3231	protein_coding	0	12	2	116	54	2	0	0	0	0	0	12	62
envZ	EC958_3798	EC958_3798	protein_coding	0	2	0	0	0	0	0	0	0	0	0	2	0
exbB	EC958_3399	EC958_3399	protein_coding	0	1	0	17	17	0	0	0	0	0	0	1	0
exbD	EC958_3398	EC958_3398	protein_coding	0	0	0	19	18	0	0	0	0	0	0	0	1
fabI	EC958_1622	EC958_1622	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
feoA	EC958_3802	EC958_3802	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	2
feoB	EC958_3803	EC958_3803	protein_coding	0	1	0	2	0	0	0	0	0	0	0	1	2
fhuF	EC958_0097	EC958_0097	protein_coding	0	11	4	102	76	4	0	0	0	0	0	11	26
fimA	EC958_0045	EC958_0045	protein_coding	0	8	4	131	69	4	0	0	0	0	0	8	62
